,City,Country,Latitude,Longitude,Date,Tempature,Humidity,Clouds,Wind
44,narsaq,gl,88.6133412112641,-59.242186208085485,1510931356.0,17.93,84.0,80.0,22.19
45,plettenberg bay,za,-36.26435139371939,23.887108619343707,1510931356.0,61.04,100.0,0.0,5.19
47,praxedis guerrero,mx,30.62016861910763,-105.56647132834021,1510931357.0,50.83,53.0,0.0,3.96
49,codrington,ag,22.701245575609192,-60.04110479398527,1510931358.0,76.03,100.0,80.0,11.45
50,wanaka,nz,-45.06655874786503,168.59562358753743,1510931358.0,34.58,100.0,0.0,2.17
51,rikitea,pf,-52.33648348675345,-127.88426196435043,1510931359.0,45.56,96.0,8.0,28.12
54,bredasdorp,za,-44.14558255914805,19.690512461993023,1510931359.0,51.14,91.0,76.0,21.41
56,madimba,tz,-8.94003597241091,42.26163503408091,1510931360.0,83.0,100.0,0.0,7.99
59,busselton,au,-45.585643721305914,85.09783251502449,1510931360.0,45.11,100.0,48.0,40.42
60,mataura,pf,-57.62507922115919,-153.55210143377212,1510931361.0,36.11,95.0,88.0,18.84
61,tuktoyaktuk,ca,85.64844490936733,-132.43430695276615,1510931361.0,13.7,88.0,76.0,19.28
62,gorlev,dk,55.50505555182926,11.161420579899527,1510930200.0,42.8,93.0,40.0,12.75
64,dabrowa tarnowska,pl,50.35432164564881,20.97520330123521,1510931363.0,37.64,95.0,88.0,6.08
65,cap malheureux,mu,-13.527032636132844,58.46840365488367,1510931363.0,80.48,99.0,0.0,12.46
66,murakami,jp,38.49298166576523,139.3337712919327,1510931364.0,50.69,100.0,36.0,12.46
67,butaritari,ki,9.605191903891907,162.95728962648474,1510931364.0,78.23,100.0,80.0,4.41
68,ponta do sol,cv,19.02004813809485,-38.13584400644581,1510931365.0,76.84,100.0,44.0,9.22
69,igrim,ru,62.71544852493676,64.24224699718036,1510931365.0,19.1,82.0,80.0,2.62
70,omsukchan,ru,62.3660106664496,156.50893297985454,1510931366.0,-1.24,73.0,88.0,3.74
72,nicoya,cr,6.372266116455734,-88.30334683534068,1510931366.0,76.79,100.0,92.0,10.11
73,asau,tv,-14.101978878777672,176.0579594192862,1510931367.0,82.19,100.0,0.0,3.74
76,raudeberg,no,64.04271819418133,1.9808723658028953,1510931367.0,43.81,100.0,92.0,42.99
77,louisbourg,ca,42.068354637828946,-59.07263816568556,1510931368.0,61.67,100.0,88.0,28.01
78,kudat,my,6.700120704670127,117.40433674627513,1510930800.0,78.8,88.0,75.0,3.36
79,labuhan,id,-11.230289529356085,99.6610541794227,1510931369.0,78.95,100.0,0.0,11.12
80,longyearbyen,sj,82.50469317295892,14.658130129254886,1510931369.0,19.06,79.0,36.0,16.26
81,tual,id,-5.7345138216652884,132.00492968409537,1510931370.0,83.41,100.0,76.0,4.74
83,tooele,us,39.92977460707294,-112.52584195254317,1510931371.0,43.18,94.0,8.0,4.07
84,tasiilaq,gl,63.783921042484565,-38.673157240944505,1510931371.0,30.04,100.0,0.0,32.26
85,anar darreh,af,32.168272911323854,61.17387675898712,1510931372.0,51.19,50.0,0.0,11.9
87,semnan,ir,34.375546594962884,53.284862474224184,1510931372.0,48.89,43.0,0.0,4.63
88,cape town,za,-53.734327989974005,-1.3745169287420538,1510931373.0,33.23,96.0,88.0,22.53
89,vardo,no,83.94351084984882,35.7334419638577,1510931373.0,12.62,75.0,8.0,20.85
90,burkburnett,us,34.225535885264335,-98.52551492926504,1510930560.0,63.88,88.0,20.0,21.92
91,avarua,ck,-42.56180082196331,-159.03924397757453,1510931375.0,54.83,97.0,80.0,24.54
92,merauke,id,-7.30939918343644,140.1967466060628,1510931375.0,76.66,96.0,24.0,2.95
93,tongren,cn,27.806764235112922,108.07248413271583,1510931376.0,52.94,96.0,88.0,2.28
94,kathu,th,9.289561477967538,95.37001862037403,1510931377.0,83.81,100.0,0.0,3.74
97,isla mujeres,mx,22.51666303913953,-86.66336211915167,1510931377.0,78.14,100.0,0.0,13.24
98,saint-philippe,re,-64.42821040602666,69.55371108893706,1510931378.0,22.52,89.0,0.0,13.58
99,victoria,sc,-4.143707863714312,59.65859407745421,1510931378.0,81.02,100.0,36.0,10.22
100,dunedin,nz,-49.4528921073737,173.1191492314701,1510931379.0,48.76,95.0,8.0,25.99
101,bukachacha,ru,53.85051642997695,117.41259352759477,1510931379.0,-14.7,58.0,0.0,4.29
105,tuatapere,nz,-61.34285623571975,155.21053254472196,1510931380.0,31.39,96.0,92.0,21.3
107,garowe,so,8.281403132271166,48.61370070197546,1510931380.0,80.66,26.0,0.0,8.66
109,clyde river,ca,73.81420126301538,-68.98220802996465,1510931381.0,2.54,98.0,56.0,8.55
110,castro,cl,-51.12613489736182,-93.81146472462821,1510931382.0,45.88,92.0,92.0,22.75
111,amderma,ru,78.44342034774405,62.32595571924338,1510931382.0,22.21,100.0,48.0,22.97
114,sao filipe,cv,7.7879798428047735,-34.26334495288194,1510931383.0,76.88,100.0,92.0,6.08
115,omboue,ga,-6.742846979311736,0.30842833313343476,1510931383.0,74.36,100.0,36.0,14.25
116,flinders,au,-37.317661079070334,128.74423901184065,1510931384.0,59.06,95.0,36.0,22.3
117,nikolskoye,ru,36.216268373654245,172.9556139158111,1510931385.0,68.11,95.0,88.0,13.02
118,barentsburg,sj,87.61537874223123,6.533102924347588,1510931385.0,14.33,87.0,48.0,19.28
119,moorhead,us,46.73158440867837,-96.3187867702535,1510930380.0,34.23,74.0,75.0,5.82
120,bengkulu,id,-9.613737659321089,90.98651761756793,1510931386.0,79.22,100.0,68.0,15.7
121,nome,us,61.56412881193563,-167.7690917420605,1510931387.0,36.29,100.0,20.0,25.88
122,vaini,to,-54.227182090790464,-174.35840858994757,1510931388.0,44.03,100.0,68.0,34.83
123,taolanaro,mg,-55.756705101855886,63.84020525981208,1510931388.0,33.95,100.0,48.0,25.88
124,murray bridge,au,-35.51633788833291,139.0927955670653,1510931389.0,61.09,100.0,92.0,7.87
125,belmonte,br,-16.82892374124009,-35.00936693145135,1510931389.0,75.26,100.0,100.0,13.02
126,tadine,nc,-21.107915899827006,168.40895575422257,1510931390.0,72.56,100.0,80.0,17.27
127,palora,ec,-2.1051972539510757,-76.5320395008951,1510931390.0,85.43,72.0,48.0,2.95
128,georgetown,sh,-7.169505622315597,-21.349770423801857,1510931391.0,76.88,100.0,8.0,16.26
130,san pedro,bz,17.88533485550603,-87.68160711199592,1510931391.0,79.99,100.0,0.0,12.24
131,rio grande,br,-39.8815550196693,-43.65318925461514,1510931392.0,55.73,100.0,80.0,3.74
132,gizo,sb,-11.741475976127816,156.3006880426301,1510931392.0,76.93,100.0,92.0,12.46
133,atuona,pf,2.471089685839516,-141.37190878233852,1510931393.0,75.62,100.0,80.0,15.26
135,jutai,br,-5.131161316548585,-68.58555326603346,1510931393.0,81.34,92.0,44.0,3.96
137,barrow,us,83.36883258936453,-144.82338939475312,1510931394.0,-8.98,68.0,8.0,8.99
139,catuday,ph,17.921064003296138,115.63163168809234,1510931395.0,80.89,98.0,8.0,7.43
140,khatanga,ru,67.80199446226015,102.88669051323097,1510931395.0,-27.52,43.0,0.0,3.62
144,mogadishu,so,-1.0066875074345774,49.989493946073,1510931395.0,81.88,100.0,0.0,6.2
146,ligayan,ph,4.010874280166121,119.90800557888014,1510931396.0,83.23,100.0,0.0,4.41
147,mitsamiouli,km,-11.125776738649378,43.03236665459639,1510927200.0,89.6,62.0,20.0,13.87
148,adrar,dz,27.80668264792118,-1.2046207546000574,1510931397.0,76.7,24.0,8.0,5.64
149,linguere,sn,15.159993004552874,-14.234878547500074,1510931398.0,93.31,20.0,68.0,6.76
150,yerazgavors,am,40.696569764783106,43.62950252166593,1510929000.0,45.1,70.0,0.0,5.82
152,provideniya,ru,55.54148129462055,-172.64798199835946,1510931399.0,42.95,99.0,88.0,15.14
153,launceston,au,-41.85791323115233,147.60581794422234,1510930800.0,60.8,82.0,90.0,5.82
154,hilo,us,5.063636116627961,-153.29869354304208,1510931400.0,79.09,100.0,36.0,13.58
155,la palma,pa,4.14782400616258,-82.5111148884596,1510931401.0,76.79,100.0,68.0,13.8
158,skagastrond,is,66.42483973625676,-21.074318332757457,1510931402.0,37.24,100.0,88.0,14.7
159,vaitupu,wf,-8.401477725493905,-179.99017424994278,1510931402.0,79.36,100.0,88.0,6.64
160,brownwood,us,31.873911373254515,-98.84585391956233,1510930500.0,66.67,93.0,90.0,6.93
162,ilulissat,gl,78.18759709388752,-44.30073973787481,1510931404.0,-45.79,0.0,0.0,12.46
163,manzil tamim,tn,36.8806530653696,10.879499420639519,1510929000.0,64.4,59.0,40.0,18.34
164,port alfred,za,-74.16038072112613,47.010924378423795,1510931406.0,-27.79,28.0,20.0,3.29
166,thompson,ca,53.639642367582724,-98.4483728019768,1510927200.0,14.0,92.0,20.0,10.29
167,arraial do cabo,br,-38.188733130562355,-20.541645361936475,1510931408.0,57.94,96.0,68.0,20.29
169,corner brook,ca,49.30418342931844,-58.14558888822485,1510927200.0,28.4,86.0,90.0,12.75
170,bethel,us,45.300646844158535,-164.9978542479377,1510931409.0,49.7,100.0,20.0,25.32
172,cherskiy,ru,87.4324976012997,157.95223279951773,1510931410.0,17.89,84.0,88.0,11.79
173,airai,pw,13.987454024004734,136.45131446447675,1510931410.0,84.94,98.0,48.0,19.28
177,lermontovka,ru,46.969077948425905,134.86651633312653,1510931411.0,-0.48,76.0,24.0,2.84
178,hermanus,za,-75.39359917654883,-5.473047594849078,1510931412.0,-18.16,73.0,0.0,6.64
180,ponta do sol,pt,30.901752327504653,-18.46337450989347,1510931412.0,71.03,100.0,24.0,12.01
182,ulladulla,au,-39.51225606056335,158.76528296208477,1510931413.0,60.23,100.0,80.0,11.23
183,chagda,ru,56.93768193840265,132.3017517846436,1510931413.0,-24.28,97.0,24.0,2.28
185,esna,eg,25.05240967887468,33.31571813709269,1510931414.0,80.93,23.0,12.0,1.95
187,sao felix do xingu,br,-8.29811524817869,-51.365984659085484,1510931415.0,85.48,70.0,32.0,2.73
188,nagua,do,19.350505571570594,-69.9160997115272,1510927200.0,80.6,88.0,75.0,5.82
191,inhambane,mz,-23.368060301026077,36.841667567928795,1510931416.0,75.49,100.0,0.0,19.17
193,belaya gora,ru,67.25126708162477,146.803580531705,1510931416.0,-21.04,30.0,20.0,2.95
194,ugoofaaru,mv,6.16477946446183,61.78774197147189,1510931417.0,83.63,100.0,64.0,10.67
195,brigantine,us,37.00592398990473,-72.18551641620799,1510931418.0,58.07,100.0,8.0,30.58
196,sentyabrskiy,ru,35.17815065858831,157.81346252574707,1510931418.0,62.75,100.0,0.0,18.28
197,olinda,br,-8.325281234801892,-29.543872772357446,1510931419.0,79.18,100.0,32.0,14.14
198,fortuna,us,38.39206150250746,-138.25464114439927,1510931420.0,59.11,100.0,88.0,11.23
199,manicore,br,-6.232741074412402,-61.22348329255354,1510927200.0,86.0,74.0,0.0,3.36
200,ardakan,ir,33.428803914480795,54.59724098419832,1510931421.0,41.29,44.0,0.0,3.62
202,lebu,cl,-37.56364292805641,-77.09276467302803,1510931421.0,54.56,100.0,48.0,18.16
204,los llanos de aridane,es,27.534195489303727,-18.486416483065682,1510930800.0,73.4,69.0,20.0,3.36
206,gushikawa,jp,22.97281769664255,132.97717238309508,1510931423.0,82.06,100.0,88.0,21.63
208,yokadouma,cm,3.1573909949076295,14.947718697337933,1510931423.0,87.01,56.0,32.0,2.62
209,olafsvik,is,58.73466708559104,-30.296986167748003,1510931424.0,42.05,100.0,76.0,6.76
210,karkaralinsk,kz,48.35807893695957,76.09538354419317,1510931425.0,22.7,90.0,80.0,6.42
215,bathsheba,bb,16.70921312415689,-51.35994411029273,1510931425.0,80.21,100.0,48.0,9.44
216,muravlenko,ru,62.638857833786574,72.86015429945667,1510931426.0,19.64,89.0,92.0,2.62
220,shahreza,ir,32.05636824682081,52.305374372170405,1510931426.0,37.64,85.0,0.0,1.16
221,sidvokodvo,sz,-26.679469459651273,31.395231904522376,1510927200.0,73.4,38.0,20.0,4.7
223,mys shmidta,ru,73.58962675018245,-175.94138875044817,1510931428.0,26.44,100.0,88.0,23.87
225,newark,us,43.15436965804574,-77.05755960010303,1510930440.0,32.0,82.0,1.0,12.75
226,yulara,au,-23.79332530230009,127.46826279907782,1510931429.0,84.58,35.0,68.0,7.54
231,ballangen,no,67.48608675769557,17.120515459330306,1510931429.0,13.48,87.0,88.0,1.95
237,vila franca do campo,pt,42.460957358909866,-19.004925309126122,1510931430.0,62.71,100.0,56.0,12.8
238,gweru,zw,-19.292055821327807,29.965103234740468,1510931431.0,71.26,75.0,44.0,3.18
239,seddon,nz,-41.911382161663205,174.0777569895816,1510931431.0,48.26,100.0,8.0,11.79
241,destin,us,29.347885972741082,-86.40460189601097,1510931432.0,69.68,100.0,0.0,9.66
242,alice springs,au,-26.671940655386294,137.05509468712006,1510931432.0,66.04,35.0,0.0,6.98
243,zunheboto,in,26.00431394054347,94.48887651098721,1510931433.0,62.03,99.0,8.0,1.72
246,constitucion,mx,22.166135724701164,-114.13103358786142,1510931433.0,74.18,100.0,0.0,8.43
247,mizan teferi,et,6.331116880888615,35.32417267060697,1510931434.0,80.53,38.0,0.0,1.61
249,hami,cn,42.548188126678724,94.21680793223771,1510931434.0,27.02,65.0,0.0,9.66
251,oktyabrskoye,ru,62.32170961523755,66.19319630329213,1510931435.0,18.38,94.0,88.0,4.63
252,rincon,an,14.419807714505552,-66.48836503638756,1510931435.0,83.68,97.0,76.0,11.01
253,yar-sale,ru,76.2899978139732,69.68151940513212,1510931436.0,11.14,100.0,68.0,20.07
255,prince george,ca,54.557521924336044,-122.80123086765421,1510931437.0,4.66,86.0,68.0,2.17
257,monrovia,lr,2.825936983329953,-12.40108043645813,1510931437.0,76.7,100.0,92.0,7.87
261,maningrida,au,-9.665184339841062,133.10914771051773,1510931438.0,83.81,100.0,56.0,14.47
263,pevek,ru,88.98800336837752,163.8653318727129,1510931438.0,9.43,72.0,12.0,14.25
265,ahuimanu,us,28.255093638296373,-155.0488421341884,1510931439.0,71.39,100.0,88.0,3.62
266,itarema,br,5.242139231540349,-35.59060048505279,1510931439.0,77.15,100.0,92.0,7.2
272,kruisfontein,za,-44.099369760860085,25.318692953832283,1510931440.0,54.34,97.0,92.0,16.15
275,zhoukou,cn,33.396804775658694,114.46942050389492,1510931441.0,43.49,29.0,92.0,22.75
277,aasiaat,gl,69.77392968140225,-52.63420083391283,1510931441.0,3.17,80.0,56.0,1.95
281,houma,us,25.899116398046004,-91.2048858948196,1510931442.0,76.7,100.0,0.0,9.22
285,torbay,ca,41.852317786799375,-51.687144165108464,1510931442.0,52.58,100.0,0.0,5.3
286,norman wells,ca,78.56819273720063,-122.22835955257614,1510931443.0,-27.12,43.0,0.0,8.77
287,saskylakh,ru,70.54932321834357,112.76628214480735,1510931444.0,0.2,75.0,92.0,13.02
289,praia da vitoria,pt,42.24517720356977,-24.20477328754714,1510931444.0,66.17,99.0,92.0,24.87
291,springdale,ca,50.53105296090871,-56.989277073691355,1510931445.0,30.89,90.0,88.0,13.02
293,buraydah,sa,28.685588592583727,44.8024735044163,1510931445.0,62.03,35.0,0.0,3.51
296,sinnamary,gf,15.972457549802883,-46.495497795129154,1510931446.0,79.85,100.0,20.0,8.88
297,puerto el triunfo,sv,12.335745901305089,-88.54182014237921,1510931447.0,83.68,98.0,0.0,10.22
299,talnakh,ru,75.2147917206915,87.78819499767769,1510931447.0,-15.28,23.0,32.0,4.29
300,srostki,ru,52.594308921664094,85.99872735350618,1510931448.0,9.79,82.0,36.0,2.84
301,maniwaki,ca,47.24253868070008,-76.70984034838281,1510931448.0,17.39,72.0,0.0,6.64
303,tumannyy,ru,77.20193039303982,37.65772247146734,1510931449.0,30.53,100.0,76.0,22.97
305,tura,ru,64.35430080414307,102.1069702635939,1510931449.0,-37.38,0.0,8.0,2.62
309,mount gambier,au,-38.50157367035259,139.1157420423391,1510931450.0,59.56,98.0,76.0,8.21
310,wadena,ca,52.18054328271029,-104.1445957786063,1510931451.0,6.01,76.0,44.0,7.99
312,aflu,dz,34.27929977408428,0.757257633950644,1510931451.0,54.47,77.0,0.0,4.41
316,brunico,it,47.08082146891064,12.014655937520871,1510930200.0,37.4,93.0,75.0,3.36
320,tigil,ru,57.961654947718046,159.11209513866947,1510931453.0,33.95,91.0,88.0,7.87
322,upernavik,gl,72.86847899176419,-61.87822137785507,1510931454.0,16.58,100.0,76.0,12.24
324,qaanaaq,gl,78.47982483542268,-68.79195842049144,1510931454.0,-27.52,0.0,68.0,7.54
325,matara,lk,-2.38152426068271,83.06642300006575,1510931455.0,81.83,100.0,48.0,10.0
327,tsihombe,mg,-34.0849978439218,44.21786923750213,1510931455.0,65.54,95.0,80.0,24.09
331,carnarvon,za,-30.29563026456281,21.75524114378078,1510931456.0,74.63,14.0,0.0,9.44
333,arcata,us,41.1618651065956,-123.90602626071167,1510926780.0,41.0,100.0,40.0,3.36
334,morrope,pe,-6.083360810839196,-80.29897663858823,1510931457.0,72.65,65.0,8.0,7.87
337,carnarvon,au,-30.614797276763326,93.08676382094541,1510931458.0,62.57,100.0,0.0,6.2
338,port elizabeth,za,-53.52025069219894,29.975215592754296,1510931459.0,36.34,87.0,92.0,20.96
340,half moon bay,us,32.93273781239586,-129.76758311262466,1510931459.0,63.43,100.0,12.0,16.93
342,beringovskiy,ru,56.07268854919323,179.18395000633802,1510931460.0,44.12,92.0,92.0,28.12
348,nanfeng,cn,23.719882485738182,111.72513751314375,1510931460.0,71.75,99.0,92.0,2.17
349,katsuura,jp,23.11459460716253,149.7703879022916,1510931461.0,80.12,100.0,48.0,19.51
351,sumbe,ao,-11.580417303237013,14.01892570753833,1510931462.0,77.83,84.0,0.0,9.66
352,la asuncion,ve,13.294207488231422,-65.57059063386032,1510931462.0,83.27,98.0,8.0,13.35
354,puerto escondido,mx,8.928898541195949,-100.55493971324326,1510931463.0,82.78,96.0,0.0,11.45
355,celestun,mx,22.106036024768684,-91.95955054955854,1510931463.0,77.96,100.0,0.0,11.79
357,montesarchio,it,41.204788986996704,14.529012681094883,1510930500.0,55.26,72.0,20.0,2.06
358,balkhash,kz,47.35190839432184,74.89498726779703,1510931465.0,24.05,81.0,20.0,7.65
359,artvin,tr,40.96079773874661,41.5355324118116,1510931465.0,36.92,77.0,20.0,1.5
365,nadym,ru,64.382412248662,71.96114489988977,1510931466.0,18.43,84.0,92.0,3.18
368,dingle,ie,52.175504204562486,-16.392636909763638,1510931466.0,56.0,95.0,44.0,16.04
369,kiruna,se,67.74734122513965,20.844995663488277,1510930200.0,16.79,92.0,90.0,2.24
371,sarai naurang,pk,32.613492706605854,70.47590883546675,1510931467.0,45.34,88.0,0.0,2.62
374,puerto ayora,ec,-3.001999102100072,-108.14260590440188,1510931468.0,70.4,100.0,88.0,17.72
375,port blair,in,8.495724214058413,92.8078412224271,1510931469.0,83.86,100.0,56.0,2.62
378,fernan-nunez,es,37.586531036550085,-4.762939933249527,1510929000.0,68.0,30.0,0.0,3.74
382,broome,au,-17.289640971512398,123.19126928708147,1510927200.0,86.0,55.0,40.0,8.05
391,nsanje,mw,-17.88378186465357,35.13954110037932,1510931470.0,74.18,87.0,100.0,10.22
394,killybegs,ie,56.87635156664484,-9.777350974516082,1510931471.0,51.01,100.0,88.0,32.93
395,orumiyeh,ir,37.72040015357237,45.183993785714364,1510927200.0,50.0,43.0,0.0,4.7
396,tazovskiy,ru,70.03223691130978,79.06086723712752,1510931474.0,-3.22,76.0,80.0,14.81
397,petropavlovka,ru,51.043810696274164,105.45097704624345,1510931475.0,-9.7,46.0,8.0,2.28
401,aklavik,ca,68.6332323746824,-141.61645778501958,1510931475.0,-3.9,71.0,56.0,2.73
402,lasa,cn,30.778661002070876,93.34900240828028,1510931476.0,9.02,59.0,0.0,3.4
404,svarstad,no,61.6980940447755,11.10830146261597,1510931476.0,28.91,77.0,8.0,6.98
406,balkanabat,tm,41.18493461859802,53.290361388340244,1510931477.0,51.91,88.0,56.0,5.86
408,samusu,ws,-4.213818076153004,-165.2350317233192,1510931478.0,81.29,100.0,24.0,14.36
411,leningradskiy,ru,89.30128390548612,179.17687396001702,1510931478.0,11.0,74.0,20.0,16.26
413,vestmannaeyjar,is,61.96127396244975,-19.124094037140026,1510931479.0,42.28,100.0,20.0,25.55
417,brainerd,us,46.06039671936506,-94.23041130826645,1510930260.0,33.82,74.0,90.0,16.26
419,batemans bay,au,-38.85479841865881,151.98354723985113,1510931480.0,63.43,94.0,20.0,20.85
420,snyder,us,32.83968118734116,-101.30022904778899,1510930500.0,57.2,100.0,1.0,8.05
421,chuy,uy,-40.67261333867855,-44.04923525946208,1510931481.0,52.85,100.0,12.0,1.95
422,rungata,ki,1.1181847906928795,178.25780410752395,1510931482.0,80.89,100.0,76.0,9.66
423,poykovskiy,ru,61.81336626080852,73.00919755057782,1510929000.0,17.6,100.0,75.0,2.24
425,pangnirtung,ca,63.97387827078438,-63.05386040451964,1510931483.0,9.65,85.0,0.0,17.16
426,dijkot,pk,31.181896279644732,73.06111449469518,1510931483.0,59.11,78.0,0.0,5.19
427,ribeira grande,pt,30.707909825717877,-31.227405704320603,1510931484.0,71.71,100.0,88.0,10.67
428,araouane,ml,19.306041444238446,-3.3309626268313934,1510931485.0,82.82,19.0,20.0,8.99
431,la romana,do,16.73875832102334,-68.33881054233662,1510931485.0,81.38,100.0,64.0,9.44
432,tessalit,ml,24.279432016596886,3.641018238441518,1510931486.0,80.53,20.0,8.0,5.41
433,maua,ke,0.978886443398892,38.995479600502705,1510931486.0,91.06,33.0,44.0,5.75
435,kodiak,us,41.47778690378894,-147.57588386277303,1510931487.0,54.34,100.0,80.0,20.29
437,sioux lookout,ca,53.755132727439474,-92.61454636876789,1510927200.0,23.0,92.0,90.0,8.05
443,yuryevets,ru,57.53165613867756,43.16375723892935,1510931488.0,33.05,92.0,92.0,13.69
444,luau,ao,-10.090638953160692,23.61714813647805,1510931489.0,74.36,84.0,56.0,3.18
446,niquero,cu,19.77608422959686,-78.449335966359,1510931489.0,80.53,100.0,44.0,19.95
448,ostrovnoy,ru,71.45657880184888,39.25632757995055,1510931490.0,36.88,100.0,88.0,23.42
450,nanortalik,gl,52.29076327070587,-39.964502249541425,1510931491.0,49.97,95.0,92.0,32.7
451,sorland,no,73.97711769940673,4.377369098445627,1510931491.0,37.64,100.0,88.0,19.95
454,lompoc,us,25.20329472100437,-129.56545699044406,1510931492.0,70.09,100.0,80.0,2.17
455,fort nelson,ca,61.185500423403596,-120.52600884274511,1510931492.0,-3.85,75.0,36.0,2.39
457,yerbogachen,ru,64.0688073736373,104.77242543624993,1510931493.0,-30.45,0.0,0.0,2.95
459,burica,pa,6.126540580652232,-83.14773898602576,1510931494.0,75.26,100.0,92.0,12.35
462,uyo,ng,4.842020170834928,7.99167096911961,1510931494.0,86.29,64.0,20.0,9.78
467,marawi,sd,21.519222361825683,28.865670432814596,1510931495.0,88.76,14.0,8.0,4.41
471,fairbanks,us,67.50834166082683,-146.6281177262959,1510931495.0,0.47,86.0,88.0,2.73
473,coquimbo,cl,-30.33220615703687,-73.38980732952037,1510931496.0,59.96,97.0,0.0,24.09
474,huarmey,pe,-16.150595769982772,-89.08292898183277,1510931496.0,65.59,100.0,8.0,20.85
477,gimli,ca,53.21767697078667,-95.78711916042352,1510931497.0,27.65,82.0,80.0,10.78
478,sitka,us,46.350878370525095,-138.69750333706975,1510931497.0,49.52,100.0,76.0,18.28
479,lagoa,pt,48.55954150314369,-25.958920736118074,1510931498.0,58.52,91.0,92.0,24.76
480,attawapiskat,ca,64.70126165028762,-87.35756078547308,1510931498.0,7.85,68.0,88.0,18.95
487,cabedelo,br,-6.033507550385778,-30.483258613684797,1510931499.0,79.54,100.0,64.0,15.37
